"code_bss";"date_mesure";"niveau_nappe_eau"
"00143A0008/F1";"2006-06-02";"-64.33"
"00143A0008/F1";"2006-06-03";"-63.99"
"00143A0008/F1";"2006-06-04";"-63.6"
"00143A0008/F1";"2006-06-05";"-63.53"
"00143A0008/F1";"2006-06-06";"-63.83"
"00143A0008/F1";"2006-06-07";"-64.21"
"00143A0008/F1";"2006-06-08";"-64.41"
"00143A0008/F1";"2006-06-09";"-64.38"
"00143A0008/F1";"2006-06-10";"-64.26"
"00143A0008/F1";"2006-06-11";"-63.93"
"00143A0008/F1";"2006-06-12";"-64.1"
"00143A0008/F1";"2006-06-13";"-64.32"
"00143A0008/F1";"2006-06-14";"-64.02"
"00143A0008/F1";"2006-06-15";"-63.85"
"00143A0008/F1";"2006-06-16";"-63.82"
"00143A0008/F1";"2006-06-17";"-63.57"
"00143A0008/F1";"2006-06-18";"-63.19"
"00143A0008/F1";"2006-07-02";"-63.21"
"00143A0008/F1";"2006-07-03";"-63.37"
"00143A0008/F1";"2006-07-04";"-63.74"
"00143A0008/F1";"2006-07-05";"-63.83"
"00143A0008/F1";"2006-07-06";"-63.84"
"00143A0008/F1";"2006-07-07";"-63.86"
"00143A0008/F1";"2006-07-08";"-63.49"
"00143A0008/F1";"2006-07-09";"-63.16"
"00143A0008/F1";"2006-07-10";"-63.34"
"00143A0008/F1";"2006-07-11";"-63.82"
"00143A0008/F1";"2006-07-12";"-64.04"
"00143A0008/F1";"2006-07-13";"-64.24"
"00143A0008/F1";"2006-07-14";"-64.21"
"00143A0008/F1";"2006-07-15";"-63.88"
"00143A0008/F1";"2006-07-16";"-63.67"
"00143A0008/F1";"2006-07-17";"-63.82"
"00143A0008/F1";"2006-07-18";"-64.1"
"00143A0008/F1";"2006-07-19";"-64.31"
"00143A0008/F1";"2006-07-20";"-64.4"
"00143A0008/F1";"2006-07-21";"-64.1"
"00143A0008/F1";"2006-07-22";"-63.71"
"00143A0008/F1";"2006-07-23";"-63.35"
"00143A0008/F1";"2006-07-24";"-63.38"
"00143A0008/F1";"2006-07-25";"-63.53"
"00143A0008/F1";"2006-07-26";"-63.56"
"00143A0008/F1";"2006-07-27";"-63.52"
"00143A0008/F1";"2006-07-28";"-63.06"
"00143A0008/F1";"2006-07-29";"-62.64"
"00143A0008/F1";"2006-07-30";"-62.31"
